Serial Number,Company Name,Employee Markme,Description,Leave,Phone Number,Address,Time in role
9.79E+12,TALES OF SHIVA,Mark,mark,0,480-505-8877,82 Not real address st,9
9.78E+12,1Q84 THE COMPLETE TRILOGY,HARUKI MURAKAMI,Mark,0,480-505-8878,,9
9.78E+12,MY KUMAN,Mark,Mark,0,480-505-8879,84 Not real address st,9
9.78E+12,THE GOD OF SMAAL THINGS,ARUNDHATI ROY,4TH HARPER COLLINS,2,480-505-8880,85 Not real address st,9
9.78E+12,THE BLACK CIRCLE,Mark,4TH HARPER COLLINS,0,480-505-8881,86 Not real address st,9
9.79E+12,THE THREE LAWS OF PERFORMANCE,Mark,4TH HARPER COLLINS,0,480-505-8882,87 Not real address st,9
9.79E+12,CHAMarkKYA MANTRA,Mark,4TH HARPER COLLINS,0,480-505-8883,88 Not real address st,9
9.79E+12,59.FLAGS,Mark,4TH HARPER COLLINS,0,480-505-8884,89 Not real address st,9
9.78E+12,THE POWER OF POSITIVE THINKING FROM,Mark,A & A PUBLISHER,0,480-505-8885,90 Not real address st,9
9.79E+12,YOU CAN IF YO THINK YO CAN,PEALE,A & A PUBLISHER,0,480-505-8886,91 Not real address st,9
9.79E+12,DONGRI SE DUBAI TAK (MPH),Mark,A & A PUBLISHER,0,480-505-8887,92 Not real address st,9
9.79E+12,MarkLANDA ADYTAN KOSH,Mark,AADISH BOOK DEPOT,0,480-505-8888,93 Not real address st,9
9.79E+12,MarkLANDA VISHAL SHABD SAGAR,-,AADISH BOOK DEPOT,1,480-505-8889,94 Not real address st,9
8187776021,MarkLANDA CONCISE DICT(ENG TO HINDI),Mark,AADISH BOOK DEPOT,0,480-505-8890,95 Not real address st,9
9.79E+12,LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,Mark,AAM COMICS,2,480-505-8891,96 Not real address st,
9.79E+12,LN. MarkIK SUNDER SINGH,N.A,AAN COMICS,0,480-505-8892,97 Not real address st,12
